domain,status,ttl_seconds
kota.ooo,taken,585626
kruno.ooo,taken,577652
ktv.ooo,taken,578111
kumar.ooo,taken,580174
kun.ooo,taken,581885
kuno.ooo,taken,553951
kuo.ooo,taken,580252
kura.ooo,taken,583662
kus.ooo,taken,553733
kwan.ooo,taken,584330
lakshmi.ooo,taken,580101
lal.ooo,taken,580191
lala.ooo,taken,582496
lan.ooo,taken,584347
land.ooo,taken,581139
lando.ooo,taken,580485
lao.ooo,taken,581906
lars.ooo,taken,583252
lee.ooo,taken,584325
leela.ooo,taken,550355
lemon.ooo,taken,584388
leo.ooo,taken,584661
leonardo.ooo,taken,584903
les.ooo,taken,583160
levi.ooo,taken,583172
lex.ooo,taken,582198
liam.ooo,taken,584700
lider.ooo,taken,584564
lila.ooo,taken,585014
lili.ooo,taken,584730
lima.ooo,taken,578046
lindsay.ooo,taken,583193
live.ooo,taken,583276
lolita.ooo,taken,581617
long.ooo,taken,584356
loo.ooo,taken,579673
loretta.ooo,taken,584437
lotte.ooo,taken,585585
luc.ooo,taken,585089
luce.ooo,taken,577604
luci.ooo,taken,584759
lucia.ooo,taken,584967
lucky.ooo,taken,582657
ludo.ooo,taken,584134
ludovico.ooo,taken,584215
ludwig.ooo,taken,585488
lula.ooo,taken,579101
luna.ooo,taken,584987
luo.ooo,taken,581880
lux.ooo,taken,577710
macedo.ooo,taken,577736
mads.ooo,taken,583264
maga.ooo,taken,585429
maher.ooo,taken,583677
mahima.ooo,taken,550372
maho.ooo,taken,585634
maia.ooo,taken,579077
maine.ooo,taken,581645
majid.ooo,taken,582542
mak.ooo,taken,584340
make.ooo,taken,581263
maks.ooo,taken,585427
maksym.ooo,taken,583989
malu.ooo,taken,584764
mam.ooo,taken,582338
mamamia.ooo,taken,580789
mano.ooo,taken,582315
mao.ooo,taken,585634
maps.ooo,taken,578474
mar.ooo,taken,583761
marcel.ooo,taken,585477
marcelo.ooo,taken,584898
marco.ooo,taken,584900
marea.ooo,taken,578442
marietta.ooo,taken,585578
marko.ooo,taken,585482
marlo.ooo,taken,581555
marshall.ooo,taken,579361
mart.ooo,taken,582424
martina.ooo,taken,585542
mary.ooo,taken,584709
masha.ooo,taken,585454
mateo.ooo,taken,584917
matos.ooo,taken,580515
mats.ooo,taken,583261
matt.ooo,taken,584358
matte.ooo,taken,581039
mauro.ooo,taken,584911
max.ooo,taken,585424
maya.ooo,taken,584084
mayumi.ooo,taken,585687
